rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
5.0,Job in Oman,Current Employee,Friendly No boss culture Continue trainings,Not meet inflation during these days crisis in pakistan,,v,v,v,3,4,4,4,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-12, Mio,
4.0,Wonderful employer,"Current Employee, more than 5 years",Many opportunities to grow as a professional,Difficult to navigate at times,,v,v,v,5,4,4,4,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-19, Associate Director,
2.0,"Good culture, not for long term growth","Former Employee, more than 5 years",Good culture Good maternity/paternity leaves,Site leaders not focussed on employee growth Laidback attitude impacts opportunity to grow in role and take up additional tasks India site not apt for growth in career for non-pharma fields,,x,v,x,1,2,1,3,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-28, Manager,
5.0,Good place to work,"Former Employee, more than 1 year",Good people good salary nice pace,"Nothing negative to say, all good",,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-16, Supply Chain,
4.0,Pros and cons,"Current Employee, more than 5 years",Work from home is allowed,Nothing in specific. Depending on the team and your manager work life balance varies,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-02-14, Anonymous Employee,
5.0,Great place to work,"Current Employee, more than 8 years",the company is known for great culture and perks to manage work-life balance,limited overseas relocation opportunities pay grade slightly lower than the competitors,,v,v,v,4,3,4,4,5.0,5.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-08, Expert Global Trial Manager,
3.0,GL Accountant,"Current Employee, more than 3 years",Daily GL entries & activities,no work life balance at the end,,o,o,o,,,,,,,Reviews/Novartis-Reviews-E935314.htm,2023-03-16, Accountant,
3.0,Ok,"Current Employee, more than 5 years","unbossed culture, flexible working hours","less career development opportunities, not result drive but based on networking",,v,x,x,3,3,1,3,3.0,2.0,Reviews/Novartis-Reviews-E935314.htm,2023-03-12, Finance Manager,
5.0,Good,"Current Employee, less than 1 year",Many things are good at novartis,Vertical growth is less it should be improved,,o,o,o,4,4,4,4,4.0,4.0,Reviews/Novartis-Reviews-E935314.htm,2023-02-16, Project Manager,
4.0,Learning Specialist,Current Employee,"Novartis is a good company which embrace diversity, flexibility and build strong profile for you if you can involve yourself in out of scope activities.","Not all managers have the capability to be a good manager, train and develop the associates.",,o,o,o,4,3,4,4,3.0,3.0,Reviews/Novartis-Reviews-E935314.htm,2023-01-29, Learning Specialist,
