rating,title,status,pros,cons,advice,Recommend,CEO Approval,Business Outlook,Career Opportunities,Compensation and Benefits,Senior Management,Work/Life Balance,Culture & Values,Diversity & Inclusion,firm_link,date,job,index
3.0,Great company,Current Employee,Appreciate they employee love everyone and the customers,None no cons at all,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-10-06, ,
3.0,Ok,"Former Employee, more than 10 years",Great retirement benefits holiday pay vacation,The way u r treatd,,v,v,v,4,3,3,3,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-10, Management,
2.0,Raises are few and far between,"Current Employee, more than 5 years","Flexible schedule, Good co workers",Managers don't care about fairness,,x,v,x,3,3,2,5,2.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-10, Cashier,
5.0,Great Place,"Current Employee, more than 1 year",Fun and great place to work,Need better work life balance,,v,r,v,4,4,3,2,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-28, Anonymous Employee,
3.0,Easy,Former Employee,"Easy, laid back, nice customers, decent pay","Management, coworkers, pay was ok, store manager",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-12-10, Stock Clerk,
5.0,Great company,Former Employee,"Evaluation every 6 months
Great management",Too many first job employees,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-01-25, ,
5.0,Good Company,"Former Employee, more than 1 year","Opportunity, Support, Benefits, Flexible Hours","Unsupporting management, Restricted career plans",,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-01-26, ,
5.0,Publix,Current Employee,Great benefits like 401k and stock.,Long hours and short handed,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-01-26, Anonymous Employee,
5.0,Great job,Current Employee,Good pay and good benefits,No cons for working here,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-02-04, Deli,
5.0,Great company,Current Employee,"Good Reputation, Nice, Clean Stores",I have not noticed any,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-02-24, Anonymous Employee,
5.0,Great job,"Former Employee, more than 3 years",Great benefits and great people.,Late nights and long shifts,,o,o,o,5,5,5,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-02-28, Anonymous Employee,
4.0,Decent Job,"Former Employee, less than 1 year","Supportive management
Good training
Positive environment","Pay is low
Hard to get holidays off",,v,o,v,3,3,4,3,4.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-26, Cashier,
5.0,Love Publix,"Current Employee, more than 10 years",Great company to work for.,No concerns to be had.,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-03-28, Anonymous Employee,
2.0,Clean store but lazy employees,Former Employee,Pay was decent enviroment good,Department managers need more training,,x,v,x,3,3,1,2,1.0,,Reviews/Publix-Reviews-E613700.htm,2019-04-07, Produce Clerk,
5.0,Great Employer,Current Employee,Stock Options and flexible schedule,Hourly work and difficult customers,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-04-10, Meat/Seafood Clerk,
5.0,Meat manager,"Current Employee, more than 10 years",Great company with great benefits.,Not enough hours for productivity,,v,v,v,4,5,3,3,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-04-22, Meat Manager,
3.0,pay,"Current Employee, more than 10 years","good working environment, great poeple",bad management and hours vary week to week,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-05-08, Cashier,
3.0,Ok,"Former Employee, more than 1 year",Customers are nice who come in,Work is boring and repetitive no challenge,,o,o,o,2,2,3,2,3.0,,Reviews/Publix-Reviews-E613700.htm,2019-05-20, Anonymous Employee,
5.0,Warehouse Selector,Former Employee,Hard work but good money.,Bad management and very hoy.,,v,r,r,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-05-20, Anonymous Employee,
2.0,be mindful,Former Employee,not many pros to list,no growth in company and hours,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-06-05, Cashier,
4.0,Publix cashier,Current Employee,Good benefits and pay,inconvenient hours and managers are sometimes tricky,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-06-12, Cashier,
5.0,Loved publix,Current Employee,Pay and managers are awesome,Can be stressful work sometimes,,v,v,v,4,4,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-06-23, Pharmacy Technician,
5.0,Pleasure working,"Current Employee, more than 3 years","Flexible, Tuition reimbursement, Fast Pace","Work load, pay, management Hours",,o,o,o,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-06-27, Meat Cutter,
5.0,Wonderful!,"Current Employee, more than 5 years","- Best staff
- Flexible","- NOTHING
- Nothing, best place to work",,v,v,v,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-07-16, Cashier,
4.0,Publix Cashier,Current Employee,"vision & dental , 401k","little hours , barely full time",,o,o,o,4,5,5,4,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-07-31, Cashier,
5.0,Bagger,Former Employee,Meet good and friendly people everyday,Drug test at the interview,,o,r,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-08-21, ,
5.0,Customer Service,Current Employee,"Flexible, friendly, fortune 500 company",none I can think of,,o,o,o,,,,,,,Reviews/Publix-Reviews-E613700.htm,2019-08-29, Anonymous Employee,
5.0,Pharmacy technician,"Current Employee, less than 1 year",Management is caring and sweet,Not enough hours for company,,o,o,o,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-05, Anonymous Employee,
4.0,Customer service,"Former Employee, more than 3 years","Flexible schedule, benefits, clean environment.",Very hard to advance in company,,v,r,r,2,2,4,3,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-11, Customer Service,
5.0,Okay,Former Employee,Bonuses and stock benefits,"Hours, management and flexibility for time off",,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-09-27, Grocery Stocker,
4.0,Great company,"Former Employee, more than 1 year",Great benefits great hours for everyone,do not really have any,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-01, Cashier,
5.0,really good,"Current Employee, less than 1 year",bad schedule in the store,good benefits in the company,,v,v,v,5,5,5,5,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-04, Cashier,
3.0,Publix,"Former Employee, more than 10 years",great job great company good benefits,"no room for advancement, no family time",,v,r,v,5,3,2,2,5.0,,Reviews/Publix-Reviews-E613700.htm,2019-10-07, Lab Technician,
